## BLIND transcription worksheet -- see docs/design/ifct_sitting.md
## Fill the value columns from IFCT 2017 ONLY. Do not open
## fixture_ingredients.csv first: the current values are hand-entered
## approximations, and reading them before transcribing anchors the
## transcription to the guess it is supposed to check. The diff is run
## afterwards, by docs/design/probes/d7b_transcription_diff.py.
##
## Leave a cell EMPTY if IFCT does not tabulate it. Empty means "not found",
## which is a result; 0 means "the table says zero", which is a different one.
## Put the page or table number in ifct_page so the next reader can re-find it.
## All values per 100 g of the state named in the `state` column.
##
## Lines beginning with ## are ignored by the diff script.
##
## This file lives in docs/design/ and NOT in data/raw/ifct/ on purpose:
## core.foods.ifct_loader.load_ingredients globs every .csv in that directory
## and raises on any file missing the ingredient columns. Dropping a worksheet
## in beside the fixture takes the whole library down at import time. Measured
## 2026-08-09, which is how this ended up here.
id,ifct_code,ifct_page,state,energy_kcal,protein_g,fat_g,carb_g,fibre_g,sodium_mg,iron_mg,calcium_mg,b12_ug,transcriber,notes
wheat_atta_raw,,,raw,,,,,,,,,,,
paneer_fresh,,,as_used,,,,,,,,,,,
soya_chunks_dry,,,raw,,,,,,,,,,,
onion_raw,,,raw,,,,,,,,,,,
tomato_raw,,,raw,,,,,,,,,,,
green_chilli,,,raw,,,,,,,,,,,
## --- The four below are triaged as probably NOT coverable by IFCT 2017.
## --- Do these LAST, or not at all. See the triage table in the doc for why.
## --- If you try one and IFCT does not tabulate it, leave the values empty
## --- and say so in `notes` -- a recorded negative closes the question.
sunflower_oil,,,as_used,,,,,,,,,,,
ginger_garlic_paste,,,as_used,,,,,,,,,,,
garam_masala,,,as_used,,,,,,,,,,,
salt_iodised,,,as_used,,,,,,,,,,,
